last_name, first_name,player_id,year,player_age,b_total_pa,b_home_run,batting_avg,slg_percent,r_total_stolen_base,r_stolen_base_pct,xba,xslg,exit_velocity_avg,launch_angle_avg,hard_hit_percent,sprint_speed,
Correa, Carlos,621043,2021,27,640,26,.279,.485,0,,.296,.481,90.2,12.1,42.7,26.9,
Buehler, Walker,621111,2021,27,82,0,.101,.130,0,,.080,.111,85.7,-7.6,25,24.7,
Dahl, David,621311,2021,27,220,4,.210,.322,2,,.246,.398,88.1,11.5,36.7,27.7,
Phillips, Brett,621433,2021,27,292,13,.206,.427,14,,.179,.359,89.6,17.8,45.1,28.5,
Taylor, Tyrone,621438,2021,27,271,12,.247,.457,6,,.239,.398,88.6,16,37.3,28.6,
Buxton, Byron,621439,2021,28,254,19,.306,.647,10,,.299,.606,92.5,13.3,53.8,30.0,
Brinson, Lewis,621446,2021,27,290,9,.226,.376,1,,.242,.372,88.5,14,37.7,28.6,
Duggar, Steven,621453,2021,28,297,8,.257,.437,7,,.232,.406,88,15.2,33.9,28.5,
Stewart, DJ,621466,2021,28,318,12,.204,.374,0,,.205,.381,87.8,19.7,34.3,26.7,
Ward, Taylor,621493,2021,28,237,8,.250,.438,1,,.259,.453,89.6,16.4,39.7,28.3,
Nido, Tomas,621512,2021,27,161,3,.222,.327,1,,.242,.395,88.7,10,43.1,25.6,
Wisdom, Patrick,621550,2021,30,375,28,.231,.518,4,,.215,.458,91.2,19.1,51.9,28.1,
Wendle, Joey,621563,2021,31,501,11,.265,.422,8,,.237,.353,87.9,6.2,34.6,27.9,
Olson, Matt,621566,2021,27,673,39,.271,.540,4,,.264,.507,91.6,16.2,48.8,25.9,
Jones, Taylor,622100,2021,28,108,2,.245,.402,0,,.208,.327,90.6,12.8,42.7,26.3,
Duffy, Matt,622110,2021,30,322,5,.287,.381,8,,.275,.385,87.5,7.5,34.8,26.4,
Margot, Manuel,622534,2021,27,464,10,.254,.382,13,,.268,.396,87.9,10.7,40.2,28.6,
Reyes, Pablo,622569,2021,28,87,1,.256,.359,4,,.227,.318,87.1,15,36.5,27.8,
Reyes, Victor,622682,2021,27,220,5,.258,.416,5,,.257,.404,89.5,6.6,35,28.8,
Mateo, Jorge,622761,2021,26,209,4,.247,.376,10,,.243,.361,85.4,14.1,31.2,30.4,
Bote, David,623520,2021,28,327,8,.199,.330,0,,.230,.398,89.9,9.8,43.7,27.2,
Ramirez, Harold,623912,2021,27,361,7,.268,.398,3,,.269,.402,91.3,6.2,47.2,28.6,
Santander, Anthony,623993,2021,27,438,18,.241,.433,1,,.268,.444,90.7,18,43.5,26.1,
Alonso, Pete,624413,2021,27,637,37,.262,.519,3,,.270,.539,91,14.7,47.3,26.0,
